timestamp1,timestamp2,difference
1678995622164041000,1678995622165209000,1168000
1678995622164042000,1678995622165210000,1168000
1678995622164043000,1678995622165210000,1167000
1678995622164044000,1678995622165211000,1167000
1678995622164045000,1678995622165212000,1167000
1678995622164046000,1678995622165213000,1167000
1678995622164047000,1678995622165214000,1167000
1678995622164047000,1678995622165215000,1168000
1678995622164048000,1678995622165216000,1168000
1678995622164049000,1678995622165216000,1167000
1678995622164050000,1678995622165217000,1167000
1678995622164051000,1678995622165218000,1167000
1678995622164052000,1678995622165219000,1167000
1678995622164053000,1678995622165220000,1167000
1678995622164053000,1678995622165221000,1168000
1678995622164054000,1678995622165222000,1168000
1678995622164055000,1678995622165222000,1167000
1678995622164056000,1678995622165223000,1167000
1678995622164057000,1678995622165224000,1167000
1678995622164058000,1678995622165225000,1167000
1678995622164059000,1678995622165226000,1167000
1678995622164059000,1678995622165227000,1168000
